;filter_conv_1;kernel_conv_1;filter_conv_2;kernel_conv_2;filter_conv_3;kernel_conv_3;batchnorm_1;batchnorm_2;batchnorm_3;batchnorm_4;n_dense;batch_size;best_val_acc
120;64;5;128;3;128;3;0.9783748952935664;0.9661283617546376;0.7615717767770478;0.8280155513966286;256;256;0.8133999705314636
121;64;5;128;3;128;3;0.7042492281185171;0.8211727068890841;0.9307015592387692;0.9865971248997432;64;64;0.8169999718666077
122;64;3;64;5;128;5;0.7151739066802804;0.9676124946168064;0.7632989816233228;0.7879813065898476;128;256;0.8222000002861023
123;64;5;64;5;256;3;0.990153745564638;0.9524226700310736;0.9487730368541536;0.8986144478976189;256;64;0.816100001335144
124;32;5;64;5;128;5;0.8320367201292127;0.9666614919348934;0.8105928469529593;0.8152196096609384;64;128;0.7943000197410583
125;32;5;64;3;256;3;0.9407723937695848;0.8850601458618751;0.9700058247015336;0.8587974772337317;256;128;0.7731000185012817
126;64;5;128;3;256;3;0.9035059754964264;0.9326326461119804;0.7653181990507921;0.7956983303578222;64;128;0.8162999749183655
127;64;3;128;5;128;5;0.9115987728611682;0.8221434437884795;0.8293460502151562;0.9451256033862896;256;128;0.828499972820282
128;64;5;64;5;128;3;0.8621873649492076;0.9979818720146221;0.7417136224178743;0.9281203570321108;128;64;0.8037999868392944
129;32;5;64;5;256;5;0.7523760061927129;0.8792655287252225;0.9008049391246716;0.7878401453602162;64;128;0.7961999773979187
130;32;3;64;5;256;3;0.9769260716597804;0.9317549066265884;0.8904097956546383;0.8041456814457935;128;128;0.8052999973297119
131;64;5;64;5;128;5;0.9177219188273787;0.9722525983070454;0.9278489900723764;0.8442204685718548;128;128;0.8022000193595886
132;32;5;128;3;128;5;0.7937138997158925;0.8244214423052366;0.7293690557697686;0.8251356239206167;64;64;0.8126000165939331
133;32;3;128;5;256;3;0.8795668523851259;0.8589479911742729;0.9351761031486292;0.7108052921776452;64;64;0.8281000256538391
134;64;5;128;3;128;3;0.966118372000172;0.9817261773179259;0.8854755355977266;0.8234310454695302;256;128;0.8072999715805054
135;32;3;128;5;128;5;0.9097599254128858;0.7816401668674383;0.8300941515753433;0.9970007799105208;256;64;0.8108000159263611
136;64;3;128;5;128;5;0.8850861833304595;0.7694884314225797;0.8641927214290124;0.9631318756248254;256;256;0.8155999779701233
137;64;3;128;5;256;5;0.9323424227757218;0.9170446992631482;0.7972491674597686;0.9152318661961716;256;64;0.8458999991416931
138;32;3;128;5;256;5;0.9523138365928848;0.8887895725155088;0.7962008602609071;0.9037397641212184;256;64;0.8428000211715698
139;32;3;128;5;256;5;0.9998985720261104;0.9178839254006824;0.7944046774628561;0.8983098451889999;256;64;0.8126999735832214
140;64;3;128;5;256;5;0.8179445511562782;0.9100034786738658;0.7963943422926044;0.9093622933994032;256;64;0.8526999950408936
141;64;3;128;5;256;5;0.8124041106871339;0.9102490448487084;0.8602953358938337;0.9208918808790412;256;64;0.8378999829292297
142;64;3;128;5;256;5;0.7812600792954141;0.9992479014452124;0.7085070712932683;0.8775763777015705;256;64;0.8447999954223633
143;64;3;128;5;256;5;0.7426471097151395;0.8421116236413382;0.7872363976835419;0.9519967184006612;256;256;0.8496000170707703
